Sex,Length,Diameter,Height,Shell Mass,Visceral Fat Mass,Body Fat Mass,Age
F,1.4375,1.175,0.4125,6.747181,5.5848515,12.3320325,9
M,0.8875,0.65,0.2125,1.5592225,1.37495075,2.2963095,6
I,1.0375,0.775,0.25,2.76407625,1.60174675,3.231843,6
F,1.175,0.8875,0.25,5.2446575,2.28213475,4.74854125,10
I,0.8875,0.6625,0.2125,1.70097,1.48834875,3.458639,6
F,1.55,1.1625,0.35,7.2291225,6.76135575,13.5794105,8
F,1.3,1,0.325,4.819415,5.85417175,6.0951425,15
M,1.325,1.0125,0.375,7.15824875,5.3013565,9.979024,10
I,1.5875,1.25,0.4125,10.24834425,9.76640275,20.2698925,13
I,0.9125,0.6875,0.3375,2.08368825,1.26155275,3.061746,7
M,0.825,0.5375,0.1875,0.9922325,0.75126175,1.2757275,6
F,1.3625,1.05,0.4375,7.7961125,5.03203625,7.257472,10
M,0.8625,0.6375,0.225,1.7860185,0.83631025,2.664853,9
I,1.375,1.075,0.3625,6.3786375,4.309124,8.57572375,10
I,1.225,0.95,0.3,4.3941725,3.9405805,6.13766675,11
F,1.6375,1.2875,0.5,11.4815475,8.7599955,20.56756225,12
M,1.6,1.3125,0.45,11.55242125,8.49067525,13.79203175,10
I,1.0625,0.775,0.225,2.26796,1.8427175,3.92640575,7
M,1.475,1.1,0.375,8.3631025,6.87475375,10.375917,11
I,0.7625,0.575,0.1875,1.417475,0.86465975,1.68679525,6
M,1.1125,0.8,0.3,3.3168915,2.551455,5.6415505,7
F,1.625,1.3125,0.475,11.4815475,8.77417025,25.16018125,11
I,0.925,0.6875,0.2375,2.33883375,1.5592225,2.87747425,6
I,0.575,0.4375,0.1625,0.56699,0.29766975,0.737087,5
F,1.2625,0.975,0.325,5.06038575,3.9972795,8.97261675,9
M,1.2625,1,0.3875,8.0796075,5.03203625,7.69688925,12
M,1.3375,1.075,0.35,6.10931725,4.52174525,8.09378225,8
M,1.525,1.2125,0.4375,9.7805775,8.4198015,15.422128,12
F,1.575,1.2875,0.4,9.922325,9.08601475,15.6772735,11
I,1.0875,0.8125,0.3,3.18931875,1.7293195,5.14543425,8
M,1.0625,0.875,0.2625,4.6776675,1.7860185,3.685435,9
I,1.25,0.95,0.3375,5.9250455,3.4869885,6.406987,8
I,1.2625,0.975,0.4625,4.876114,4.025629,7.5693165,7
F,1.4875,1.1875,0.425,12.0485375,6.3786375,13.60776,20
M,1.55,1.225,0.475,10.0640725,8.40562675,15.46465225,13
M,1.4,1.0375,0.325,5.54232725,4.819415,10.47514025,8
I,1.1125,0.8625,0.2625,3.3168915,2.87747425,4.74854125,7
F,1.0125,0.775,0.3,2.6932025,1.644271,3.912231,13
I,0.75,0.575,0.2,1.13398,0.75126175,1.23320325,8
I,1.05,0.825,0.25,2.83495,2.5231055,4.63514325,9
I,1.4375,1.125,0.3375,7.200773,4.989512,10.24834425,10
I,0.8,0.5125,0.2,1.40330025,0.963883,2.494756,5
F,1.7,1.4,0.4875,11.7650425,9.128539,24.4089195,11
M,1.5125,1.1875,0.4375,8.7599955,7.7961125,15.29455525,10
I,1.0375,0.775,0.2375,3.2601925,1.77184375,3.18931875,8
F,1.725,1.35,0.4625,13.324265,9.015141,19.66037825,15
M,1.25,1.025,0.375,6.23689,3.8838815,7.98038425,11
F,1.725,1.45,0.4875,13.36678925,10.24834425,20.071446,10
F,1.375,1.175,0.375,8.221355,5.216308,10.6877615,9
M,1.525,1.175,0.3875,7.89533575,6.16601625,14.0897015,9
M,1.1375,0.875,0.275,3.69960975,3.1467945,5.6699,8
M,1.8,1.3625,0.4875,13.33843975,10.8578585,23.28911425,11
I,1.375,1.1,0.4125,8.50485,4.7910655,8.845044,17
F,1.3125,1.025,0.3375,6.6621325,4.32329875,8.3064035,11
I,1.175,0.8875,0.2875,3.9405805,2.381358,4.7343665,7
F,1.775,1.4125,0.4875,16.0174675,9.53960675,18.086981,17
F,1.4375,1.1625,0.35,7.66853975,5.14543425,12.530479,9
